Event Name,Event Time,Status,External Url
Salesforce Saturday Amsterdam Study Group: Flow challenges,"May 07, 2022 08:00 AM - May 07, 2022 11:00 AM",APPROVED,
"Salesforce Live Event, Cairo! @ The St. Regis Cairo","Jun 15, 2022 08:00 AM - Jun 15, 2022 05:00 PM",APPROVED,http://invite.salesforce.com/salesforcelivecairo/Cloudastick
Future Smart Cities 2022,"Nov 18, 2022 12:00 AM - Nov 20, 2022 10:00 AM",APPROVED,https://www.ierek.com/events/future-smart-cities-fsc-5th-edition
