Company Name,Title,Description,Location,Started On,Finished On
Hmto - همتو,Business Application Support,,"Giza, Al Jizah, Egypt",Nov 2022,
zCloud Consultancy,Junior Salesforce Developer,,United Arab Emirates,Mar 2022,Aug 2022
Trailhead,Salesforce Administrator,,,Feb 2022,May 2022
Cloud11,Front End Developer,,"6 El-Sahaba Mosque, Ad Doqi, Giza Governorate",May 2018,Apr 2019
