Name
Enterprise Resource Planning (ERP)
Microsoft Power BI
Data Analysis
HTML
css3 
Front-end Development
Responsive Web Design
User Interface Design
PSD to html
Bootstrap
SASS
jQuery UI
WordPress
JavaScript
jQuery
JSON
photoshop
Github
Git
HTML5
Salesforce.com Administration
Visualforce
Apex Programming
Business Logic
Salesforce Lightning Platform
Lightning Web Components
Aura
